stats,left,right,above,below,front,behind,over,under,in,touch,at,between,near,on top of,beside,facing
rel_acc,0.789473684,0.86,0.846153846,0.826086957,0.795454545,0.6,0.333333333,0.818181818,0.8,0.711111111,0.974358974,0.925925926,0.9375,0.805194805,1,1
precision,0.869565217,0.862068966,0.777777778,0.764705882,0.805555556,0.538461538,0.5,0.777777778,0.8,0.684210526,1,1,0.96,0.744186047,1,1
recall,0.8,0.892857143,1,1,0.935483871,0.636363636,0.5,1,1,0.65,0.967741935,0.875,0.96,0.888888889,1,1
sensitivity,0.8,0.892857143,1,1,0.935483871,0.636363636,0.5,1,1,0.65,0.967741935,0.875,0.96,0.888888889,1,1
specificity,0.769230769,0.818181818,0.666666667,0.6,0.461538462,0.571428571,0,0.5,0,0.76,1,1,0.857142857,0.731707317,1,1
F1,0.833333333,0.877192982,0.875,0.866666667,0.865671642,0.583333333,0.5,0.875,0.888888889,0.666666667,0.983606557,0.933333333,0.96,0.810126582,1,1
acc,0.822757112,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
stats,left,right,above,below,front,behind,over,under,in,touch,at,between,near,on top of,beside,facing
rel_acc,0.921052632,0.88,0.884615385,0.739130435,0.75,0.68,1,1,0.7,0.755555556,0.897435897,0.925925926,0.90625,0.883116883,0.333333333,0.75
precision,1,0.966666667,0.857142857,0.833333333,0.695652174,0.578947368,1,1,0.7,0.76,0.888888889,0.888888889,0.869565217,0.87037037,0.333333333,1
recall,0.888888889,0.852941176,0.923076923,0.714285714,0.8,1,1,1,1,0.791666667,0.96,1,1,0.959183673,1,0.75
sensitivity,0.888888889,0.852941176,0.923076923,0.714285714,0.8,1,1,1,1,0.791666667,0.96,1,1,0.959183673,1,0.75
specificity,1,0.9375,0.846153846,0.777777778,0.708333333,0.428571429,1,1,0,0.714285714,0.785714286,0.818181818,0.75,0.75,0,nan
F1,0.941176471,0.90625,0.888888889,0.769230769,0.744186047,0.733333333,1,1,0.823529412,0.775510204,0.923076923,0.941176471,0.930232558,0.912621359,0.5,0.857142857
acc,0.842450766,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
stats,left,right,above,below,front,behind,over,under,in,touch,at,between,near,on top of,beside,facing
rel_acc,0.921052632,0.88,0.807692308,0.869565217,0.727272727,0.68,0.666666667,0.909090909,0.9,0.822222222,0.923076923,0.888888889,0.9375,0.805194805,1,0.5
precision,0.888888889,0.862068966,0.733333333,0.875,0.75,0.8,0.666666667,1,0.9,0.791666667,0.909090909,0.882352941,1,0.787234043,1,0.5
recall,1,0.925925926,0.916666667,0.933333333,0.6,0.705882353,1,0.909090909,1,0.863636364,1,0.9375,0.913043478,0.880952381,1,0.5
sensitivity,1,0.925925926,0.916666667,0.933333333,0.6,0.705882353,1,0.909090909,1,0.863636364,1,0.9375,0.913043478,0.880952381,1,0.5
specificity,0.785714286,0.826086957,0.714285714,0.75,0.833333333,0.625,0,nan,0,0.782608696,0.666666667,0.818181818,1,0.714285714,nan,0.5
F1,0.941176471,0.892857143,0.814814815,0.903225806,0.666666667,0.75,0.8,0.952380952,0.947368421,0.826086957,0.952380952,0.909090909,0.954545455,0.831460674,1,0.5
acc,0.840262582,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
stats,left,right,above,below,front,behind,over,under,in,touch,at,between,near,on top of,beside,facing
rel_acc,0.868421053,0.88,0.884615385,0.695652174,0.75,0.56,1,0.818181818,0.9,0.866666667,0.923076923,0.925925926,0.9375,0.87012987,0.666666667,0.75
precision,1,0.962962963,1,0.7,0.8,0.7,1,0.818181818,1,0.884615385,0.931034483,0.933333333,0.952380952,0.893617021,1,1
recall,0.814814815,0.838709677,0.769230769,0.636363636,0.769230769,0.466666667,1,1,0.9,0.884615385,0.964285714,0.933333333,0.952380952,0.893617021,0.666666667,0.75
sensitivity,0.814814815,0.838709677,0.769230769,0.636363636,0.769230769,0.466666667,1,1,0.9,0.884615385,0.964285714,0.933333333,0.952380952,0.893617021,0.666666667,0.75
specificity,1,0.947368421,1,0.75,0.722222222,0.7,nan,0,nan,0.842105263,0.818181818,0.916666667,0.909090909,0.833333333,nan,nan
F1,0.897959184,0.896551724,0.869565217,0.666666667,0.784313725,0.56,1,0.9,0.947368421,0.884615385,0.947368421,0.933333333,0.952380952,0.893617021,0.8,0.857142857
acc,0.84463895,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
stats,left,right,above,below,front,behind,over,under,in,touch,at,between,near,on top of,beside,facing
rel_acc,0.947368421,0.92,0.807692308,0.782608696,0.818181818,0.56,0,0.818181818,0.9,0.844444444,0.948717949,0.888888889,0.90625,0.909090909,1,1
precision,1,1,0.8125,0.692307692,0.777777778,0.555555556,0,0.818181818,0.9,0.761904762,0.913043478,0.928571429,0.947368421,0.923076923,1,1
recall,0.925925926,0.857142857,0.866666667,0.9,0.913043478,0.416666667,nan,1,1,0.888888889,1,0.866666667,0.9,0.941176471,1,1
sensitivity,0.925925926,0.857142857,0.866666667,0.9,0.913043478,0.416666667,nan,1,1,0.888888889,1,0.866666667,0.9,0.941176471,1,1
specificity,1,1,0.727272727,0.692307692,0.714285714,0.692307692,0,0,0,0.814814815,0.888888889,0.916666667,0.916666667,0.846153846,1,nan
F1,0.961538462,0.923076923,0.838709677,0.782608696,0.84,0.476190476,#VALUE!,0.9,0.947368421,0.820512821,0.954545455,0.896551724,0.923076923,0.932038835,1,1
acc,0.86214442,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
stats,left,right,above,below,front,behind,over,under,in,touch,at,between,near,on top of,beside,facing
rel_acc,0.789473684,0.9,0.923076923,0.782608696,0.75,0.72,1,1,0.9,0.6,0.974358974,0.925925926,0.90625,0.792207792,0.666666667,0.5
precision,0.952380952,0.875,0.9375,0.764705882,0.84,0.642857143,1,1,0.9,0.75,0.965517241,0.928571429,0.909090909,0.803921569,0.5,0.333333333
recall,0.740740741,0.965517241,0.9375,0.928571429,0.75,0.818181818,1,1,1,0.375,1,0.928571429,0.952380952,0.872340426,1,1
sensitivity,0.740740741,0.965517241,0.9375,0.928571429,0.75,0.818181818,1,1,1,0.375,1,0.928571429,0.952380952,0.872340426,1,1
specificity,0.909090909,0.80952381,0.9,0.555555556,0.75,0.642857143,nan,nan,0,0.857142857,0.909090909,0.923076923,0.818181818,0.666666667,0.5,0.333333333
F1,0.833333333,0.918032787,0.9375,0.838709677,0.79245283,0.72,1,1,0.947368421,0.5,0.98245614,0.928571429,0.930232558,0.836734694,0.666666667,0.5
acc,0.820568928,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
stats,left,right,above,below,front,behind,over,under,in,touch,at,between,near,on top of,beside,facing
rel_acc,0.868421053,0.92,0.884615385,0.956521739,0.704545455,0.6,1,0.909090909,0.7,0.777777778,0.923076923,0.851851852,0.90625,0.844155844,1,1
precision,0.956521739,0.925925926,0.933333333,1,0.695652174,0.5625,1,0.909090909,0.7,0.740740741,0.928571429,0.842105263,0.944444444,0.86440678,1,1
recall,0.846153846,0.925925926,0.875,0.923076923,0.727272727,0.75,1,1,1,0.869565217,0.962962963,0.941176471,0.894736842,0.927272727,1,1
sensitivity,0.846153846,0.925925926,0.875,0.923076923,0.727272727,0.75,1,1,1,0.869565217,0.962962963,0.941176471,0.894736842,0.927272727,1,1
specificity,0.916666667,0.913043478,0.9,1,0.681818182,0.461538462,nan,0,0,0.681818182,0.833333333,0.7,0.923076923,0.636363636,nan,1
F1,0.897959184,0.925925926,0.903225806,0.96,0.711111111,0.642857143,1,0.952380952,0.823529412,0.8,0.945454545,0.888888889,0.918918919,0.894736842,1,1
acc,0.842450766,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
stats,left,right,above,below,front,behind,over,under,in,touch,at,between,near,on top of,beside,facing
rel_acc,0.894736842,0.88,0.923076923,0.695652174,0.727272727,0.56,0.666666667,0.909090909,0.6,0.755555556,0.871794872,0.962962963,0.9375,0.883116883,1,0.75
precision,0.88,0.928571429,0.875,0.666666667,0.782608696,0.529411765,0.666666667,1,0.6,0.692307692,0.846153846,0.952380952,0.913043478,0.892857143,1,0.75
recall,0.956521739,0.866666667,1,0.727272727,0.72,0.75,1,0.909090909,1,0.857142857,0.956521739,1,1,0.943396226,1,1
sensitivity,0.956521739,0.866666667,1,0.727272727,0.72,0.75,1,0.909090909,1,0.857142857,0.956521739,1,1,0.943396226,1,1
specificity,0.8,0.9,0.833333333,0.666666667,0.736842105,0.384615385,0,nan,0,0.666666667,0.75,0.857142857,0.818181818,0.75,1,0
F1,0.916666667,0.896551724,0.933333333,0.695652174,0.75,0.620689655,0.8,0.952380952,0.75,0.765957447,0.897959184,0.975609756,0.954545455,0.917431193,1,0.857142857
acc,0.831509847,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
stats,left,right,above,below,front,behind,over,under,in,touch,at,between,near,on top of,beside,facing
rel_acc,0.894736842,0.94,1,0.826086957,0.727272727,0.76,1,0.909090909,0.8,0.755555556,0.974358974,0.962962963,0.90625,0.805194805,1,0.75
precision,0.857142857,1,1,0.923076923,0.666666667,0.6875,1,0.9,0.8,0.740740741,0.972222222,1,0.913043478,0.814814815,1,1
recall,1,0.896551724,1,0.8,0.909090909,0.916666667,1,1,1,0.833333333,1,0.933333333,0.954545455,0.897959184,1,0.75
sensitivity,1,0.896551724,1,0.8,0.909090909,0.916666667,1,1,1,0.833333333,1,0.933333333,0.954545455,0.897959184,1,0.75
specificity,0.714285714,1,1,0.875,0.545454545,0.615384615,1,0.5,0,0.666666667,0.75,1,0.8,0.642857143,1,nan
F1,0.923076923,0.945454545,1,0.857142857,0.769230769,0.785714286,1,0.947368421,0.888888889,0.784313725,0.985915493,0.965517241,0.933333333,0.854368932,1,0.857142857
acc,0.859956236,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
stats,left,right,above,below,front,behind,over,under,in,touch,at,between,near,on top of,beside,facing
rel_acc,0.947368421,0.92,0.846153846,0.782608696,0.704545455,0.68,0.666666667,0.727272727,1,0.711111111,0.948717949,0.925925926,0.84375,0.831168831,1,0.5
precision,1,1,0.923076923,0.6875,0.666666667,0.611111111,0.666666667,0.8,1,0.666666667,0.923076923,0.941176471,0.9375,0.807692308,1,0.5
recall,0.923076923,0.846153846,0.8,1,0.631578947,0.916666667,1,0.888888889,1,0.818181818,1,0.941176471,0.789473684,0.933333333,1,1
sensitivity,0.923076923,0.846153846,0.8,1,0.631578947,0.916666667,1,0.888888889,1,0.818181818,1,0.941176471,0.789473684,0.933333333,1,1
specificity,1,1,0.909090909,0.583333333,0.76,0.461538462,0,0,nan,0.608695652,0.866666667,0.9,0.923076923,0.6875,nan,0
F1,0.96,0.916666667,0.857142857,0.814814815,0.648648649,0.733333333,0.8,0.842105263,1,0.734693878,0.96,0.941176471,0.857142857,0.865979381,1,0.666666667
acc,0.831509847,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
stats,left,right,above,below,front,behind,over,under,in,touch,at,between,near,on top of,beside,facing
rel_acc,0.884210526,0.898,0.880769231,0.795652174,0.745454545,0.64,0.733333333,0.881818182,0.82,0.76,0.935897436,0.918518519,0.9125,0.842857143,0.866666667,0.75
precision,0.940449965,0.938326492,0.884966422,0.790729638,0.748057971,0.620634448,0.75,0.902323232,0.83,0.747285318,0.927759942,0.929738071,0.93464369,0.840217702,0.883333333,0.808333333
recall,0.889612288,0.886839218,0.908814103,0.856290376,0.77557007,0.737709447,0.944444444,0.970707071,0.99,0.783203053,0.981151235,0.93567577,0.931656136,0.913812033,0.966666667,0.875
sensitivity,0.889612288,0.886839218,0.908814103,0.856290376,0.77557007,0.737709447,0.944444444,0.970707071,0.99,0.783203053,0.981151235,0.93567577,0.931656136,0.913812033,0.966666667,0.875
specificity,0.889498834,0.915170448,0.84968032,0.725064103,0.69138279,0.558324176,0.285714286,0.285714286,0,0.739480451,0.826854257,0.884991675,0.871541792,0.725886766,0.75,0.472222222
F1,0.910622003,0.909856042,0.89181806,0.815471813,0.757228144,0.660545156,#VALUE!,0.932161654,0.896431029,0.755835708,0.953276367,0.931324956,0.931440901,0.874911551,0.896666667,0.80952381
acc,0.839824945,,,,,,,,,,,,,,,